ID,RSU ID,RSU Code,Hoto Date ,ID (Executed),Executed FAT (Executed),Executed HP (Executed),Hoto Item (Executed),Incremental Hoto(fibre length) (Executed)
,04O-0-M&G-11057,04O-0,2023-06-30,,139,1696,SER-FSDU-CFT-6F,0
,,,,,139,1696,SER-FSDU-CFT-12F,13501
,,,,,139,1696,SER-FSDU-CFT-24F,0
,,,,,139,1696,SER-FSDU-CFT-48F,0
,K0E-0-M&G-11058,K0E-0,2023-04-30,,174,2088,SER-FSDU-CFT-6F,0
,,,,,174,2088,SER-FSDU-CFT-12F,15235
,,,,,174,2088,SER-FSDU-CFT-24F,6332
,,,,,174,2088,SER-FSDU-CFT-48F,0
,M0T-0-M&G-11059,M0T-0,2023-01-20,,52,672,SER-FSDU-CFT-6F,0
,,,,,52,672,SER-FSDU-CFT-12F,6743
,,,,,52,672,SER-FSDU-CFT-24F,0
,,,,,52,672,SER-FSDU-CFT-48F,0
,S6J-0-M&G-11060,S6J-0,2023-08-10,,98,1296,SER-FSDU-CFT-6F,0
,,,,,98,1296,SER-FSDU-CFT-12F,4611
,,,,,98,1296,SER-FSDU-CFT-24F,1490
,,,,,98,1296,SER-FSDU-CFT-48F,0
,S8O-0-M&G-11061,S8O-0,2023-12-20,,196,1968,SER-FSDU-CFT-6F,0
,,,,,196,1968,SER-FSDU-CFT-12F,14990
,,,,,196,1968,SER-FSDU-CFT-24F,0
,,,,,196,1968,SER-FSDU-CFT-48F,0
,S8P-0-M&G-11062,S8P-0,2023-08-31,,110,1336,SER-FSDU-CFT-6F,0
,,,,,110,1336,SER-FSDU-CFT-12F,11201
,,,,,110,1336,SER-FSDU-CFT-24F,0
,,,,,110,1336,SER-FSDU-CFT-48F,0
,,SHT-0,2023-04-30,,210,3184,SER-FSDU-CFT-6F,0
,,,,,210,3184,SER-FSDU-CFT-12F,9036
,,,,,210,3184,SER-FSDU-CFT-24F,2589
,,,,,210,3184,SER-FSDU-CFT-48F,0
